"sample","Lower_HL","Upper_HL","Upper bound"
"Raw aligned",1,1.2054,1.2054
"Raw aligned",1.1,-0.094599,1.3054
"Raw aligned",1.2,-0.094599,1.3054
"Raw aligned",1.3,-0.094599,1.3054
"Raw aligned",1.4,-0.094599,1.3054
"Raw aligned",1.5,-0.094599,1.3054
"Raw aligned",1.6,-0.094599,1.5054
"Raw aligned",1.7,-0.094599,1.6054
"Raw aligned",1.8,-0.2946,1.8054
"Raw aligned",1.9,-0.2946,1.9054
"Raw aligned",2,-0.4946,2.1054
"Raw non-restricted",1,1.1493,1.1493
"Raw non-restricted",1.1,-0.050742,1.2493
"Raw non-restricted",1.2,-0.050742,1.2493
"Raw non-restricted",1.3,-0.050742,1.2493
"Raw non-restricted",1.4,-0.050742,1.2493
"Raw non-restricted",1.5,-0.050742,1.2493
"Raw non-restricted",1.6,-0.050742,1.2493
"Raw non-restricted",1.7,-0.050742,1.4493
"Raw non-restricted",1.8,-0.050742,1.6493
"Raw non-restricted",1.9,-0.050742,1.7493
"Raw non-restricted",2,-0.15074,1.9493
"Replication",1,1.537,1.537
"Replication",1.1,-0.063012,1.637
"Replication",1.2,-0.063012,1.637
"Replication",1.3,-0.063012,1.637
"Replication",1.4,-0.063012,1.637
"Replication",1.5,-0.063012,1.637
"Replication",1.6,-0.063012,1.637
"Replication",1.7,-0.063012,1.837
"Replication",1.8,-0.063012,2.037
"Replication",1.9,-0.063012,2.137
"Replication",2,-0.063012,2.237
