"sample","panel","col","estimate","se","R2"
"replication","A","d21_401k",1.01524864033711,0.281430699881801,0.0758880518159139
"replication","A","d21_ira",0.450743527310118,0.240494450168927,0.0508935891667438
"replication","A","d21_other",-0.00280861594659202,0.266813536915336,0.0894917853190806
"replication","A","d21_sec",0.045923488818133,0.326191294780588,0.0987513784001522
"replication","A","d21_unsec",-0.000644041242167333,0.368595779906476,0.098923656681768
"replication","A","d21_car",-0.307849479688953,0.258545096455439,0.096186593818372
"aligned","A","d21_401k",1.0490531020783,0.282455018428214,0.0770421172545575
"aligned","A","d21_ira",0.47293701904566,0.24060078981047,0.0515670488120716
"aligned","A","d21_other",-0.0115690521693578,0.266708405640018,0.0913551330333479
"aligned","A","d21_sec",0.0409265254173473,0.32721099283358,0.0993397908932653
"aligned","A","d21_unsec",-0.0333623033563698,0.368996734745581,0.0991222323839031
"aligned","A","d21_car",-0.251819726894042,0.257637088580105,0.0977935550011175
"raw","A","d21_401k",0.93641013094908,0.245057694505579,0.0740889263478901
"raw","A","d21_ira",0.463305499303952,0.204660945629967,0.0560528159387255
"raw","A","d21_other",0.0358736308715411,0.225996826433862,0.0844257756944728
"raw","A","d21_sec",-0.0633017847781028,0.273078944371054,0.105952962620958
"raw","A","d21_unsec",-0.0312262728164884,0.320792103355502,0.102987745157339
"raw","A","d21_car",-0.2344399741561,0.21746876827757,0.0860448287372462
