"sample","panel","col","estimate","se","R2","coef_wave6x","se_wave6x","coef_wave6","se_wave6"
"replication","B","d21_401k",1.07976089200405,0.291066987282516,0.0510888083060189,-1.5447666096511e-05,1.4190045605239e-05,3.85757272967458e-05,7.19683418107506e-06
"replication","B","d21_ira",0.409911467273705,0.251208357098023,0.0149576167183824,1.12254926796155e-05,9.0388811141939e-06,5.1829872370601e-06,6.07970293171475e-06
"replication","B","d21_other",-0.147232528907798,0.281360371085051,0.0202829266928637,4.49374751291618e-06,3.63733475637061e-06,1.84262021398659e-06,7.95707461034075e-07
"replication","B","d21_sec",0.231795634323114,0.430538497758423,0.00700380054237605,-2.99435529030404e-06,4.60907265052463e-06,5.9257148009846e-06,2.73760301435425e-06
"replication","B","d21_unsec",-0.393884037808295,0.420918682448758,0.0229658645187146,3.98508185409206e-05,2.76702916900102e-05,4.07723129621304e-05,1.58637155017909e-05
"replication","B","d21_car",-0.925411337196759,0.419966139842827,0.0365326176388759,4.81649581909661e-05,2.88762921834766e-05,4.76954376039856e-05,1.72914302892408e-05
"aligned","B","d21_401k",1.10821144063808,0.292236546809027,0.0513892235686154,-1.5589788998348e-05,1.42392727951932e-05,3.8447849069114e-05,7.25168617673316e-06
"aligned","B","d21_ira",0.436607858397951,0.251276613603811,0.0163904028166496,1.06371923718666e-05,9.10350545785284e-06,5.66234255611715e-06,6.18254638231692e-06
"aligned","B","d21_other",-0.167182108512919,0.281829965906103,0.0192423382171813,4.4820898784384e-06,3.64045097226976e-06,1.8566477036945e-06,8.04264731966341e-07
"aligned","B","d21_sec",0.248670939410265,0.43171220585176,0.00671795644674004,-3.26184402591808e-06,4.62440122356923e-06,5.73262664008021e-06,2.74286299565258e-06
"aligned","B","d21_unsec",-0.434368832513269,0.420628423382051,0.0235165570446689,4.00221991562012e-05,2.77468253626988e-05,4.17868665515018e-05,1.60916301842524e-05
"aligned","B","d21_car",-0.877159244817972,0.419331163214536,0.0361142362557818,4.76246667192459e-05,2.87563955399111e-05,4.53157132712541e-05,1.72816407694041e-05
"raw","B","d21_401k",0.885535073186703,0.254180927010252,0.040350404645331,2.03603618435886e-06,1.35305348379252e-05,3.02594974095907e-05,5.98599129975293e-06
"raw","B","d21_ira",0.501157537197819,0.214835141173186,0.0162632245939624,3.99645619918123e-06,7.92154547129313e-06,9.49815228420838e-06,5.56402678246922e-06
"raw","B","d21_other",-0.0978727652765377,0.239711439938433,0.0145829855870115,5.38768913460143e-06,3.38948219998318e-06,2.02697885041266e-06,7.64730297576462e-07
"raw","B","d21_sec",-0.00826689920159725,0.367331074438568,0.0069294010037503,-1.36952411406796e-06,3.96020164010042e-06,5.49949798000593e-06,2.39331984391189e-06
"raw","B","d21_unsec",-0.42868619842893,0.368342649584486,0.0236041532191263,4.99645814624261e-05,2.48162190600289e-05,3.69149974202417e-05,1.28603362363624e-05
"raw","B","d21_car",-0.448559722796599,0.359186500150293,0.025585286017381,1.58466503822098e-05,2.43431632489847e-05,5.02115878380415e-05,1.46330664003245e-05
